collection,category,validation_status,error_type
longsleeve,긴팔,success,
longsleeve,긴팔,success,
longsleeve,긴팔,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,different_image,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
